Round,Date:time,Temperature,Pressure,Humidity,Altitude,Vis,IR,UVindex,Ambient(*C),Object(*C),Ambient(*F),Object(*F),CO2Serial(ppm),CO2Analog(ppm),CO2PWM(ppm),isGood
1,2020-03-22 00:05:29.014,28.51,970.77,40.93,359.85,261,254,0.03,28.61,28.37,83.5,83.07,-1,987,954,1
2,2020-03-22 00:08:36.625,28.69,970.73,39.16,360.17,261,254,0.03,28.53,28.17,83.35,82.71,-1,918,879,1
3,2020-03-22 00:10:55.647,28.87,970.78,39.94,359.76,259,253,0.02,28.77,28.57,83.79,83.43,-1,825,804,1
4,2020-03-22 00:13:14.869,28.52,970.79,42.22,359.66,261,255,0.02,28.53,28.25,83.35,82.85,-1,778,754,1
5,2020-03-22 00:17:54.874,28.2,970.74,42.06,360.09,260,254,0.02,28.23,27.95,82.81,82.31,-1,737,699,1
6,2020-03-22 00:21:01.553,28.3,970.72,41.6,360.29,262,252,0.02,28.17,27.91,82.71,82.24,-1,712,694,1
7,2020-03-22 00:23:20.702,28.37,970.74,41.26,360.1,260,252,0.02,28.35,28.07,83.03,82.53,-1,709,688,1
8,2020-03-22 00:25:39.911,27.78,970.78,41.87,359.73,261,254,0.02,27.85,27.61,82.13,81.7,-1,709,689,1
9,2020-03-22 00:30:21.036,27.85,970.74,42.77,360.12,260,253,0.03,27.83,27.59,82.09,81.66,-1,709,684,1
10,2020-03-22 00:33:27.442,28.09,970.7,42.75,360.46,262,254,0.02,27.93,27.69,82.27,81.84,-1,718,684,1
11,2020-03-22 00:35:46.892,28.2,970.7,42.63,360.44,261,253,0.02,28.15,27.87,82.67,82.17,-1,709,688,1
12,2020-03-22 00:38:05.867,27.82,970.72,42.33,360.28,261,254,0.02,27.89,27.61,82.2,81.7,-1,718,679,1
13,2020-03-22 00:42:45.833,27.76,970.67,44.57,360.66,260,253,0.02,27.71,27.47,81.88,81.45,-1,703,683,1
14,2020-03-22 00:45:53.504,27.87,970.67,43.97,360.72,261,253,0.03,27.77,27.41,81.99,81.34,-1,703,669,1
15,2020-03-22 00:48:12.724,28.24,970.66,43.74,360.74,261,253,0.02,28.15,27.91,82.67,82.24,-1,696,678,1
16,2020-03-22 00:50:31.979,28.0,970.64,43.27,360.95,260,254,0.01,27.95,27.69,82.31,81.84,-1,709,679,1
17,2020-03-22 00:55:11.798,27.79,970.65,42.19,360.87,260,254,0.02,27.77,27.63,81.99,81.73,-1,734,703,1
18,2020-03-22 00:58:18.323,27.52,970.58,44.57,361.48,260,254,0.02,27.47,27.25,81.45,81.05,-1,734,693,1
19,2020-03-22 01:00:37.603,28.15,970.54,41.77,361.8,262,254,0.02,27.89,27.63,82.2,81.73,-1,703,679,1
20,2020-03-22 01:02:56.807,27.77,970.52,42.18,361.98,261,253,0.02,27.77,27.59,81.99,81.66,-1,709,689,1
21,2020-03-22 01:07:36.674,27.81,970.42,41.44,362.89,260,254,0.01,27.85,27.59,82.13,81.66,-1,703,684,1
22,2020-03-22 01:10:43.317,27.45,970.38,43.11,363.2,259,253,0.02,27.51,27.25,81.52,81.05,-1,696,674,1
23,2020-03-22 01:13:02.436,27.96,970.39,41.2,363.15,261,253,0.03,27.71,27.43,81.88,81.37,-1,718,683,1
24,2020-03-22 01:15:21.590,27.38,970.37,42.8,363.29,263,253,0.02,27.43,27.17,81.37,80.91,-1,718,689,1
25,2020-03-22 01:20:01.569,27.79,970.27,41.42,364.14,261,253,0.02,27.69,27.43,81.84,81.37,-1,718,684,1
26,2020-03-22 01:23:08.216,27.79,970.22,42.17,364.6,261,253,0.02,27.69,27.43,81.84,81.37,-1,709,679,1
27,2020-03-22 01:25:27.321,27.71,970.21,43.11,364.7,261,253,0.02,27.61,27.29,81.7,81.12,-1,709,694,1
28,2020-03-22 01:27:46.558,27.98,970.2,43.01,364.72,261,253,0.01,27.89,27.63,82.2,81.73,-1,718,689,1
29,2020-03-22 01:32:26.430,28.36,970.02,41.43,366.27,260,252,0.03,28.09,27.85,82.56,82.13,-1,709,674,1
30,2020-03-22 01:35:32.966,27.86,970.08,42.28,365.82,260,253,0.02,27.87,27.63,82.17,81.73,-1,728,699,1
31,2020-03-22 01:37:52.078,27.44,970.03,43.53,366.18,261,253,0.02,27.43,27.17,81.37,80.91,-1,703,689,1
32,2020-03-22 01:40:10.322,28.04,970.04,41.68,366.09,261,253,0.02,27.89,27.67,82.2,81.81,-1,712,689,1
33,2020-03-22 01:44:50.272,28.04,970.03,41.87,366.23,261,253,0.02,27.73,27.47,81.91,81.45,-1,709,679,1
34,2020-03-22 01:47:56.831,27.97,970.02,42.25,366.34,261,253,0.02,27.87,27.61,82.17,81.7,-1,709,679,1
35,2020-03-22 01:50:15.970,27.48,970.03,43.19,366.26,261,253,0.02,27.53,27.31,81.55,81.16,-1,712,679,1
36,2020-03-22 01:52:35.119,27.78,970.01,42.53,366.37,257,253,0.02,27.67,27.41,81.81,81.34,-1,718,684,1
37,2020-03-22 01:57:15.126,27.91,969.97,42.3,366.69,262,253,0.02,27.63,27.31,81.73,81.16,-1,703,669,1
38,2020-03-22 02:00:21.770,27.77,969.96,43.2,366.83,261,254,0.01,27.69,27.43,81.84,81.37,-1,709,693,1
39,2020-03-22 02:02:40.903,27.55,969.96,43.55,366.78,261,253,0.02,27.47,27.23,81.45,81.01,-1,712,689,1
