Index,Temperature,Humidity,Object(*C),CO2Analog(ppm),CO2PWM(ppm),Xbar_Humidity,Xbar_co2analog,SD_Humidity,SD_co2analog,isGood
1,28.51,40.93,28.37,987,954,42.32388888888889,750.4444444444445,1.450574486149982,80.69931279117125,1
2,28.15,41.77,27.63,703,679,42.27736842105263,710.7368421052631,0.698401684047727,7.600015389334989,1
3,27.77,43.2,27.43,709,693,43.24400000000001,708.1,1.895602667671738,16.37359877492133,1
4,29.28,39.33,29.43,687,669,42.54999999999999,700.2631578947369,1.800857820287012,11.32765595671427,1
5,26.08,46.38,25.79,696,654,44.7725,706.25,1.732193240101297,14.52719772303697,1
6,26.71,43.81,26.87,718,704,49.61368421052632,713.7894736842105,3.293272959173857,9.071193400407816,1
7,24.86,53.5,24.53,693,664,58.13500000000001,721.4,7.59887422409948,23.53586289272741,1
8,24.48,74.96,24.17,743,714,79.688,729.6,2.407758512108633,10.04411322747388,1
9,26.37,82.64,25.97,768,724,82.43736842105261,730.2105263157895,0.8954566935695333,17.65905165242907,1
10,28.29,78.5,28.13,734,703,70.26736842105264,713.8421052631579,3.934944362313516,12.26224176484117,1
11,30.05,71.73,29.69,668,648,62.13199999999999,689.65,5.864512004645534,13.35063570337422,1
12,31.94,59.6,31.53,678,638,53.49842105263158,661.0,5.282122114745902,8.117197107923946,1
13,32.78,53.07,32.41,671,638,41.31750000000001,637.3,9.181066831141898,20.24091739131666,1
14,39.5,22.39,39.09,621,598,20.47210526315789,614.6842105263158,2.422422063755779,14.34903260997428,1
15,36.93,23.53,36.97,606,567,27.2015,612.85,5.424915497765365,14.33169105238641,1
16,39.36,23.88,39.93,612,577,23.55052631578947,604.4736842105264,2.832757733070231,14.66048514072449,1
17,41.15,20.18,40.71,596,581,23.3525,591.5,2.788815459414036,5.744562646538029,1
18,33.25,18.78,32.71,615,563,20.56666666666667,601.0833333333334,3.125535105701024,17.81449018653244,1
19,32.33,28.96,31.89,637,593,25.70105263157895,624.1578947368421,3.140330652684034,9.423747531839954,1
20,30.86,29.28,30.47,612,588,31.868,643.4,2.920831893034658,16.06041226448634,1
21,29.96,35.77,29.79,668,638,35.56421052631579,679.7368421052631,2.305098975434614,12.07312030579207,1
22,28.22,38.24,28.07,693,654,36.64526315789474,678.2105263157895,2.162245151125851,14.81582842536402,1
23,28.23,34.25,27.35,637,614,37.878,686.4,1.85308448411376,21.79908254950194,1
24,26.56,41.24,26.21,696,639,39.169,690.25,3.426693818583123,14.97322171147721,1
25,26.84,39.91,26.71,703,664,38.67105263157895,681.2631578947369,2.319415383086489,12.95651747304189,1
26,27.64,35.51,26.87,696,649,39.71473684210527,709.8947368421053,3.004131171165342,16.25113581275716,1
27,25.05,44.87,24.63,709,684,41.67749999999999,718.35,3.253789491136693,21.55354409738442,1
28,25.07,44.31,24.81,725,694,46.60526315789474,728.3157894736842,4.211590315125171,18.73515006487048,1
29,24.44,58.73,24.15,753,719,64.7735,738.65,6.603986256321573,24.46754025879572,1
30,25.63,70.04,25.31,743,744,72.31105263157895,757.0526315789474,2.155883151690435,15.21502796656621,1
31,27.56,76.36,27.09,693,699,72.02842105263157,749.578947368421,2.893644881763203,25.21532997002173,1
32,29.51,74.12,29.09,753,703,68.9342105263158,691.4736842105264,3.501484313496322,26.67368328740819,1
33,31.4,61.43,30.99,696,658,59.64299999999999,660.4,3.465558510467495,16.74389126627506,1
34,33.1,58.19,32.69,662,628,53.47263157894738,646.0526315789474,4.145984459028148,18.28926122136681,1
35,34.67,46.48,34.31,637,603,25.60157894736842,623.421052631579,7.245919359779061,14.93063885465679,1
36,37.89,35.61,37.99,606,562,30.7645,594.4,6.611191846526559,13.43365765138954,1
37,37.1,34.27,36.77,556,537,20.87105263157895,583.7894736842105,7.258628501259593,17.73439516673248,1
